id,pipeline_tag,library_name,actual,predicted,residual,absolute_error,error_direction,pipeline_models,actual_to_median,likely_source,individual_note
shibing624/text2vec-base-chinese,sentence-similarity,sentence-transformers,806882.0,10300130.931583408,-9493248.931583408,9493248.931583408,over-prediction,61,0.9253897211669414,available features do not explain this observation's scale,"Over-prediction by 9,493,249 downloads; actual downloads are 0.9x the snapshot median; pipeline 'sentence-similarity' contains 61 models; evidence points to available features do not explain this observation's scale."
Bingsu/adetailer,unknown,ultralytics,10499562.0,1107768.694944475,9391793.305055525,9391793.305055525,under-prediction,115,12.041645186724965,available features do not explain this observation's scale,"Under-prediction by 9,391,793 downloads; actual downloads are 12.0x the snapshot median; pipeline 'unknown' contains 115 models; evidence points to available features do not explain this observation's scale."
nvidia/Qwen3.6-35B-A3B-NVFP4,text-generation,Model Optimizer,10166794.0,1107286.3698540798,9059507.63014592,9059507.63014592,under-prediction,227,11.660003153895778,available features do not explain this observation's scale,"Under-prediction by 9,059,508 downloads; actual downloads are 11.7x the snapshot median; pipeline 'text-generation' contains 227 models; evidence points to available features do not explain this observation's scale."
meta-llama/Llama-3.2-1B-Instruct,text-generation,transformers,10258268.0,1374485.7267482136,8883782.273251787,8883782.273251787,under-prediction,227,11.76491204931546,available features do not explain this observation's scale,"Under-prediction by 8,883,782 downloads; actual downloads are 11.8x the snapshot median; pipeline 'text-generation' contains 227 models; evidence points to available features do not explain this observation's scale."
FacebookAI/roberta-base,fill-mask,transformers,11538749.0,3156533.189933225,8382215.8100667745,8382215.8100667745,under-prediction,43,13.233458820156262,available features do not explain this observation's scale,"Under-prediction by 8,382,216 downloads; actual downloads are 13.2x the snapshot median; pipeline 'fill-mask' contains 43 models; evidence points to available features do not explain this observation's scale."
Qwen/Qwen2.5-VL-7B-Instruct,image-text-to-text,transformers,9179146.0,1316289.956400147,7862856.043599853,7862856.043599853,under-prediction,159,10.527298114830478,available features do not explain this observation's scale,"Under-prediction by 7,862,856 downloads; actual downloads are 10.5x the snapshot median; pipeline 'image-text-to-text' contains 159 models; evidence points to available features do not explain this observation's scale."
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,sentence-similarity,sentence-transformers,11255293.0,3455558.832486127,7799734.167513873,7799734.167513873,under-prediction,61,12.908371299548419,available features do not explain this observation's scale,"Under-prediction by 7,799,734 downloads; actual downloads are 12.9x the snapshot median; pipeline 'sentence-similarity' contains 61 models; evidence points to available features do not explain this observation's scale."
laion/clap-htsat-fused,audio-classification,transformers,7961972.0,820364.7426363408,7141607.257363659,7141607.257363659,under-prediction,5,9.131356318543473,rare pipeline with fewer than 10 models,"Under-prediction by 7,141,607 downloads; actual downloads are 9.1x the snapshot median; pipeline 'audio-classification' contains 5 models; evidence points to rare pipeline with fewer than 10 models."
coqui/XTTS-v2,text-to-speech,coqui,9187102.0,2087170.008119538,7099931.991880462,7099931.991880462,under-prediction,13,10.536422622034262,available features do not explain this observation's scale,"Under-prediction by 7,099,932 downloads; actual downloads are 10.5x the snapshot median; pipeline 'text-to-speech' contains 13 models; evidence points to available features do not explain this observation's scale."
deepseek-ai/DeepSeek-R1,text-generation,transformers,9473051.0,2422914.119195542,7050136.880804459,7050136.880804459,under-prediction,227,10.864369292523833,available features do not explain this observation's scale,"Under-prediction by 7,050,137 downloads; actual downloads are 10.9x the snapshot median; pipeline 'text-generation' contains 227 models; evidence points to available features do not explain this observation's scale."
argmaxinc/whisperkit-coreml,automatic-speech-recognition,whisperkit,7919751.0,1071171.3536193578,6848579.646380642,6848579.646380642,under-prediction,83,9.082934269944808,available features do not explain this observation's scale,"Under-prediction by 6,848,580 downloads; actual downloads are 9.1x the snapshot median; pipeline 'automatic-speech-recognition' contains 83 models; evidence points to available features do not explain this observation's scale."
openai/clip-vit-large-patch14,zero-shot-image-classification,transformers,9275244.0,2559414.7687185495,6715829.23128145,6715829.23128145,under-prediction,22,10.637510142642105,available features do not explain this observation's scale,"Under-prediction by 6,715,829 downloads; actual downloads are 10.6x the snapshot median; pipeline 'zero-shot-image-classification' contains 22 models; evidence points to available features do not explain this observation's scale."
pyannote/speaker-diarization-3.1,automatic-speech-recognition,pyannote-audio,8828060.0,2138120.0565272523,6689939.943472748,6689939.943472748,under-prediction,83,10.124647695505699,available features do not explain this observation's scale,"Under-prediction by 6,689,940 downloads; actual downloads are 10.1x the snapshot median; pipeline 'automatic-speech-recognition' contains 83 models; evidence points to available features do not explain this observation's scale."
openai/whisper-large-v3-turbo,automatic-speech-recognition,transformers,8616744.0,2030370.9132044602,6586373.08679554,6586373.08679554,under-prediction,83,9.882295462690847,available features do not explain this observation's scale,"Under-prediction by 6,586,373 downloads; actual downloads are 9.9x the snapshot median; pipeline 'automatic-speech-recognition' contains 83 models; evidence points to available features do not explain this observation's scale."
facebook/contriever,unknown,transformers,7729368.0,1151436.6030707601,6577931.39692924,6577931.39692924,under-prediction,115,8.864589491792703,available features do not explain this observation's scale,"Under-prediction by 6,577,931 downloads; actual downloads are 8.9x the snapshot median; pipeline 'unknown' contains 115 models; evidence points to available features do not explain this observation's scale."
Qwen/Qwen2.5-VL-3B-Instruct,image-text-to-text,transformers,7929160.0,1396312.8892528955,6532847.1107471045,6532847.1107471045,under-prediction,159,9.09372518099061,available features do not explain this observation's scale,"Under-prediction by 6,532,847 downloads; actual downloads are 9.1x the snapshot median; pipeline 'image-text-to-text' contains 159 models; evidence points to available features do not explain this observation's scale."
Qwen/Qwen3-32B,text-generation,transformers,9655582.0,3316973.916144479,6338608.083855521,6338608.083855521,under-prediction,227,11.073708838076124,available features do not explain this observation's scale,"Under-prediction by 6,338,608 downloads; actual downloads are 11.1x the snapshot median; pipeline 'text-generation' contains 227 models; evidence points to available features do not explain this observation's scale."
meta-llama/Llama-3.1-8B-Instruct,text-generation,transformers,7927807.0,1725871.2901894092,6201935.70981059,6201935.70981059,under-prediction,227,9.092173464267795,available features do not explain this observation's scale,"Under-prediction by 6,201,936 downloads; actual downloads are 9.1x the snapshot median; pipeline 'text-generation' contains 227 models; evidence points to available features do not explain this observation's scale."
